Scoring mode will output 20 hypotheses of length 4-5
       score         hypothesis
1   0.999996       [0, 2, 3, 4]
2   0.999995      [0, 2, 3, 10]
5   0.999979      [0, 2, 4, 10]
9   0.999938      [0, 3, 4, 10]
10  0.999899       [0, 2, 3, 5]
17  0.999569   [0, 2, 4, 5, 12]
18  0.999563      [0, 2, 3, 12]
19  0.999521   [0, 3, 4, 5, 12]
22  0.999428  [0, 2, 5, 10, 12]
23  0.999365  [0, 3, 5, 10, 12]
27  0.998558   [0, 2, 4, 5, 13]
31  0.998397   [0, 3, 4, 5, 13]
35  0.998127  [0, 2, 4, 12, 13]
37  0.998089  [0, 2, 5, 10, 13]
39  0.997919  [0, 3, 4, 12, 13]
40  0.997901  [0, 2, 5, 12, 13]
41  0.997901   [0, 1, 2, 3, 13]
42  0.997877   [0, 1, 2, 3, 14]
43  0.997877  [0, 3, 5, 10, 13]
44  0.997847   [0, 1, 2, 3, 15]
