Scoring mode will output 20 hypotheses of length 4-5
       score        hypothesis
3   0.998395   [1, 2, 3, 4, 7]
6   0.997267     [2, 3, 4, 12]
8   0.996786      [0, 2, 3, 4]
9   0.996220   [1, 2, 3, 4, 5]
11  0.995977   [0, 1, 2, 3, 7]
12  0.995827   [0, 1, 2, 4, 7]
13  0.995749   [1, 2, 3, 4, 8]
14  0.994608   [0, 1, 3, 4, 7]
15  0.992422  [0, 1, 2, 3, 12]
16  0.992140  [0, 1, 2, 4, 12]
18  0.990560   [0, 1, 2, 3, 5]
19  0.990228  [0, 2, 3, 7, 12]
20  0.990209   [0, 1, 2, 4, 5]
21  0.989864  [0, 2, 4, 7, 12]
22  0.989855  [0, 1, 3, 4, 12]
23  0.989389   [0, 1, 2, 3, 8]
24  0.988995   [0, 1, 2, 4, 8]
25  0.987369   [0, 1, 3, 4, 5]
26  0.986926  [0, 3, 4, 7, 12]
27  0.985808   [0, 1, 3, 4, 8]
